AREA_NAME,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023
Rockcliffe-Smythe,148,126,139,174,180,38,62,47,61,75,5,1,11,7,12,43,37,35,33,53,1,2,1,0,1,9,14,16,19,20,6,5,12,7,8,72,66,42,59,93,9,4,5,12,11
Keelesdale-Eglinton West,60,84,75,105,112,33,23,24,29,34,2,5,2,3,2,18,23,27,17,29,1,0,3,0,1,11,11,7,11,26,0,2,2,0,1,29,31,34,35,23,9,4,1,7,3
Palmerston-Little Italy,95,60,78,85,77,13,16,11,24,14,48,65,28,32,33,51,48,32,36,35,0,0,1,1,2,10,9,9,13,21,0,0,0,0,2,65,51,22,36,30,12,4,5,7,8
University,129,74,92,110,127,12,6,6,16,7,75,69,61,116,53,91,59,32,39,55,1,0,0,0,1,16,9,12,14,14,0,0,1,0,2,59,58,23,38,39,7,6,5,12,11
Kensington-Chinatown,381,394,380,381,482,43,57,25,36,50,119,99,107,89,137,278,174,97,104,145,0,1,2,1,1,47,43,25,42,46,4,6,9,5,5,350,191,91,96,104,36,26,21,21,29
North St.James Town,228,232,261,221,276,20,27,20,15,10,54,50,27,36,41,70,61,45,37,40,0,0,0,1,1,34,35,16,23,29,2,1,3,4,1,99,76,37,64,56,15,9,3,5,9
Moss Park,642,756,637,548,627,43,41,50,59,43,108,107,95,90,99,232,202,154,128,145,3,2,1,3,7,140,136,88,66,56,2,4,3,10,3,220,167,127,91,108,25,15,16,16,25
Regent Park,172,144,179,127,160,23,11,9,11,12,45,30,14,15,27,65,28,32,25,40,1,1,1,0,1,17,13,16,11,20,6,7,2,3,2,59,42,22,27,34,6,4,6,5,8
Cabbagetown-South St.James Town,146,140,125,136,131,23,15,5,19,19,61,48,38,38,31,110,70,68,67,53,0,1,1,0,1,18,19,15,23,14,2,0,0,0,2,74,55,51,52,50,3,3,7,9,6
South Riverdale,256,218,230,302,339,38,39,48,77,81,72,112,94,52,85,132,143,135,102,97,0,0,2,1,1,36,35,30,42,44,6,3,2,6,3,156,137,124,80,91,21,22,21,22,27
Blake-Jones,73,58,51,59,81,8,7,5,9,7,18,20,20,6,11,18,27,27,22,34,0,0,0,1,1,10,5,13,11,11,2,2,1,2,4,23,26,13,14,15,4,5,2,1,3
North Riverdale,73,35,54,76,80,21,14,15,31,27,38,36,17,21,15,43,34,32,29,32,0,0,1,0,1,22,15,5,9,9,1,0,1,0,2,56,37,33,31,19,5,2,1,3,2
Playter Estates-Danforth,74,71,53,95,106,9,6,6,17,32,11,32,26,27,11,35,50,41,31,25,0,0,0,0,1,10,7,12,14,18,2,1,1,1,2,66,30,33,41,26,6,7,1,4,8
Danforth,83,60,83,115,132,8,7,22,22,25,28,39,65,31,13,40,40,51,57,23,0,1,0,0,1,20,16,12,22,21,1,1,0,2,2,58,59,50,40,28,4,2,5,3,5
Greenwood-Coxwell,129,119,113,117,127,29,30,18,24,29,39,56,60,33,16,48,41,38,35,23,0,0,0,1,1,11,23,15,33,7,5,2,2,1,2,100,100,59,39,36,5,4,6,7,3
Woodbine Corridor,102,71,78,110,102,8,11,13,19,32,24,32,19,14,9,33,34,31,24,25,0,1,1,1,1,12,6,8,8,7,2,0,0,1,1,68,54,34,25,34,3,4,2,5,3
The Beaches,84,87,91,121,113,21,24,30,54,58,37,47,21,21,25,58,64,39,43,39,0,0,0,0,1,16,7,17,20,16,2,0,0,0,2,54,61,48,51,49,9,10,8,8,16
East End-Danforth,183,144,183,215,218,20,28,39,41,50,31,49,42,45,27,62,61,67,69,44,0,0,2,0,2,27,26,28,23,17,2,2,2,2,1,67,110,83,83,64,9,5,8,12,7
Taylor-Massey,115,112,116,115,144,11,14,20,15,28,4,17,17,11,16,63,31,16,25,18,1,0,0,1,1,13,27,10,10,28,2,3,2,3,1,47,56,54,58,33,3,8,10,4,3
Woodbine-Lumsden,35,31,33,41,32,8,4,9,22,16,8,7,3,1,5,10,12,11,6,12,1,0,0,0,1,3,6,2,5,16,0,0,0,0,2,35,38,32,15,13,5,1,5,1,4
Danforth East York,88,59,61,70,102,9,16,16,51,51,12,21,22,13,4,24,33,23,26,12,0,1,0,0,1,11,9,6,5,4,1,0,1,0,2,83,59,58,50,45,8,5,4,3,4
Old East York,45,28,35,67,63,4,8,19,22,32,0,8,4,7,6,13,15,6,22,7,0,0,0,0,1,9,5,7,7,6,0,1,0,2,2,36,28,21,26,27,3,4,5,1,1
Runnymede-Bloor West Village,43,32,25,42,58,29,17,20,30,42,8,8,7,5,15,27,29,12,22,31,0,0,0,1,1,20,7,5,13,18,0,0,0,0,1,35,15,24,19,19,2,3,8,7,6
High Park North,91,89,95,129,187,25,18,22,36,41,50,58,29,33,28,68,32,38,32,54,0,0,0,1,1,11,17,10,14,24,2,1,2,2,2,45,46,27,53,26,5,4,5,6,4
High Park-Swansea,103,78,87,101,106,29,42,26,76,54,35,20,31,16,19,54,50,28,50,52,1,0,0,1,1,26,10,12,13,9,3,2,2,3,3,58,50,33,42,40,13,8,4,5,10
Roncesvalles,112,111,90,98,136,14,15,18,22,28,54,45,24,21,21,95,67,67,53,48,1,0,0,0,1,25,22,12,17,21,5,1,3,0,1,45,51,41,42,39,10,4,8,8,5
South Parkdale,256,251,274,274,324,22,17,17,33,43,78,50,32,29,30,89,89,63,61,63,1,0,0,1,1,34,19,20,9,23,2,4,4,3,2,55,41,52,59,34,24,13,6,10,21
Little Portugal,88,84,107,113,129,11,28,7,26,23,64,74,42,19,17,58,54,40,32,32,0,0,0,0,1,10,9,10,14,15,1,0,1,0,1,41,43,26,30,45,9,6,7,4,10
Dufferin Grove,91,86,89,86,148,6,18,20,10,18,45,37,28,37,58,44,56,29,27,36,0,1,0,0,1,32,20,4,19,29,0,3,2,2,1,45,47,24,25,39,8,4,3,6,8
Trinity-Bellwoods,114,103,127,137,139,23,15,19,31,28,59,80,39,31,46,110,86,49,69,73,0,1,0,0,1,22,21,19,31,25,0,2,2,1,1,57,30,28,37,40,3,8,8,10,9
Don Valley Village,149,99,120,117,166,21,36,34,69,161,4,6,17,4,7,34,30,31,31,45,0,2,0,0,2,34,23,18,29,30,3,0,2,2,5,69,55,63,82,104,14,6,11,11,14
Pleasant View,44,40,26,32,52,24,28,14,27,45,3,6,8,2,11,12,19,17,15,17,0,0,0,0,1,14,10,8,9,14,0,0,0,0,2,46,47,73,52,36,4,6,6,4,5
Flemingdon Park,153,132,148,142,167,9,18,17,22,39,7,4,5,4,6,16,12,10,22,24,0,0,1,0,1,13,5,4,13,13,9,14,8,1,4,17,29,35,27,49,3,3,2,1,5
Victoria Village,122,114,97,122,146,15,17,40,35,54,1,1,3,5,2,59,34,22,38,26,1,0,0,0,1,13,11,9,10,16,7,7,3,3,4,38,41,64,58,55,4,5,5,3,11
Banbury-Don Mills,75,80,87,108,132,43,50,34,57,150,2,6,12,8,14,81,41,23,47,99,0,0,0,0,1,13,7,3,20,24,2,1,2,3,4,58,49,41,52,65,16,7,8,12,14
Bridle Path-Sunnybrook-York Mills,45,47,44,36,48,11,16,39,60,80,6,11,1,3,8,53,30,19,45,96,0,0,0,0,1,13,8,5,3,3,3,3,0,1,2,25,39,12,16,26,3,6,1,6,8
St.Andrew-Windfields,63,48,50,58,58,40,31,64,85,136,4,16,14,8,11,84,50,33,52,90,0,0,0,0,1,11,9,2,8,15,2,1,0,0,2,50,60,62,52,34,7,4,7,12,12
Bedford Park-Nortown,59,52,44,42,52,63,81,105,167,229,20,8,3,6,7,90,63,30,64,122,0,0,0,0,1,14,18,10,12,12,2,1,2,0,2,119,111,50,53,71,18,10,4,8,13
Lansing-Westgate,70,97,93,66,89,25,46,63,65,113,5,11,12,1,11,39,39,16,37,58,0,0,0,3,1,9,11,12,14,24,2,1,3,2,2,72,85,40,51,56,10,8,5,12,8
Willowdale West,105,82,82,120,115,24,45,35,44,59,11,13,18,18,6,20,23,16,30,40,0,0,0,0,1,25,25,29,3,38,0,1,0,0,2,56,73,67,47,53,9,9,9,9,11
Newtonbrook West,157,175,202,229,200,59,61,91,169,214,16,23,17,13,20,53,31,35,36,52,0,0,0,1,1,18,23,19,30,30,1,5,0,2,1,83,96,80,107,150,11,9,9,13,14
Westminster-Branson,105,93,89,88,119,34,49,61,84,85,11,14,17,4,5,38,15,25,31,29,0,0,0,0,1,8,17,8,14,4,1,1,2,0,2,52,70,59,137,69,1,6,7,11,7
Bathurst Manor,57,60,55,58,88,25,46,44,79,76,6,12,5,7,5,22,27,18,24,42,0,0,0,0,1,15,7,9,17,16,0,1,1,1,2,32,57,35,94,56,5,7,1,6,4
Clanton Park,91,81,97,117,134,44,43,89,164,154,9,11,12,15,9,44,33,36,39,68,0,0,1,0,1,16,16,13,19,16,2,4,0,1,3,68,77,75,65,72,4,5,7,10,11
Englemount-Lawrence,112,102,88,86,125,24,31,36,60,68,10,33,13,7,9,32,34,23,15,49,0,1,1,0,1,15,23,7,5,17,12,10,4,3,4,63,69,62,51,54,7,8,9,3,7
Yorkdale-Glen Park,206,157,162,180,207,62,88,95,193,199,20,33,29,18,13,87,75,63,59,154,1,1,1,1,1,42,40,17,32,74,17,15,9,7,2,86,128,112,130,118,30,18,21,40,44
Brookhaven-Amesbury,105,94,138,159,166,37,56,49,68,74,4,1,7,4,5,50,33,25,20,39,0,0,3,2,1,23,16,15,12,30,8,1,5,5,2,51,61,47,50,54,12,10,5,8,9
Maple Leaf,28,28,32,51,50,25,18,13,47,49,0,2,1,0,9.5,15,10,10,21,17,0,0,0,0,1,4,2,1,5,5,1,1,2,1,1,18,31,19,19,17,3,2,3,3,1
Rustic,64,60,62,73,89,38,22,16,35,34,2,5,0,1,9.5,14,15,7,10,19,1,0,2,0,1,3,8,6,4,2,7,6,7,1,3,26,35,13,25,14,1,4,5,5,2
York University Heights,378,347,331,333,409,147,187,173,230,263,18,39,18,34,16,111,105,114,127,218,0,1,6,3,1,82,47,40,51,106,6,12,14,13,6,159,262,200,215,178,31,42,32,59,40
Glenfield-Jane Heights,351,285,315,283,327,88,120,106,161,119,8,15,6,5,5,36,51,41,34,43,2,1,5,3,1,50,50,29,31,31,31,34,19,10,14,74,139,96,81,54,12,19,7,11,27
Broadview North,69,62,55,60,81,3,7,11,15,17,13,35,10,24,11,25,25,18,17,22,0,0,1,1,1,5,3,10,2,3,0,0,1,2,2,26,32,22,33,28,1,6,1,3,3
Leaside-Bennington,31,29,50,33,38,31,43,86,79,112,26,48,28,10,12,45,40,39,41,49,0,0,0,0,1,2,8,3,4,5,0,0,1,1,2,46,43,40,62,54,7,6,3,3,9
Thorncliffe Park,121,98,118,114,128,15,20,16,33,55,8,15,17,16,10,28,41,35,53,49,0,2,0,0,1,13,5,14,19,12,8,9,3,3,4,27,26,34,61,33,5,4,5,10,8
O'Connor-Parkview,143,114,115,161,133,28,20,43,40,61,5,6,7,7,8,56,25,38,47,44,0,0,1,0,1,12,19,12,8,3,4,1,2,3,2,50,78,65,42,38,7,10,2,9,6
Henry Farm,86,87,99,96,107,23,21,33,31,67,6,12,19,7,8,39,33,24,36,25,0,0,0,0,1,7,6,8,12,13,4,3,0,2,2,84,40,100,83,89,13,6,6,10,10
Bayview Village,70,70,71,120,137,38,29,42,61,96,9,46,11,7,17,37,30,29,30,66,0,1,0,0,1,15,18,4,10,9,1,1,3,5,2,52,59,45,68,115,12,12,9,6,18
Newtonbrook East,85,60,85,81,87,28,39,43,59,75,7,1,8,9,8,53,38,27,38,36,0,0,0,0,1,10,15,9,9,20,0,1,1,4,1,58,46,33,46,43,9,10,8,9,15
Bayview Woods-Steeles,47,33,27,40,60,21,16,27,14,34,2,3,1,0,3,21,33,10,10,27,1,0,0,0,1,6,2,2,2,7,3,1,0,0,2,22,33,27,19,33,2,2,2,4,1
Hillcrest Village,68,50,44,41,68,27,23,40,16,73,9,0,4,0,2,35,18,20,31,40,1,0,1,0,1,17,14,9,32,13,2,0,1,1,1,46,30,56,44,42,6,8,4,5,8
Alderwood,36,37,27,43,44,15,28,31,68,48,5,8,0,12,2,26,43,17,42,20,0,0,0,3,1,5,12,2,7,8,1,0,0,1,2,54,47,47,31,16,7,5,4,8,8
Long Branch,59,70,95,90,96,11,24,41,33,37,11,8,11,30,16,29,34,15,33,27,0,0,1,0,1,30,16,1,7,7,0,0,3,0,2,44,42,39,30,19,1,4,3,5,2
New Toronto,108,87,116,163,168,23,21,15,42,38,9,16,9,21,9,25,41,18,24,38,0,0,0,0,1,17,11,14,16,16,2,4,3,0,1,42,40,24,48,36,2,5,5,7,5
Stonegate-Queensway,91,109,82,104,137,36,49,70,141,148,11,13,5,10,7,64,35,30,44,101,0,0,1,0,2,24,20,19,7,18,2,0,0,0,1,73,98,59,107,69,4,5,7,9,11
Kingsway South,29,11,30,21,65,29,17,36,68,88,7,12,6,6,9,25,21,9,13,55,0,0,0,0,1,13,4,14,8,8,0,0,0,0,2,23,14,17,20,13,4,3,3,4,6
Etobicoke West Mall,52,63,48,52,66,12,10,17,31,62,3,2,4,4,3,8,14,12,21,12,2,1,0,0,1,10,9,2,5,1,4,6,0,1,2,19,29,18,53,49,6,7,3,5,5
Markland Wood,14,42,25,35,45,9,29,22,31,50,9,1,1,1,1,25,12,9,12,15,0,0,0,0,1,13,17,8,11,4,1,0,0,0,2,18,16,23,40,23,3,7,5,3,1
Eringate-Centennial-West Deane,44,42,38,57,90,41,51,66,89,120,3,4,0,0,2,20,12,14,18,31,1,0,0,0,1,11,19,4,12,13,2,4,1,1,2,36,37,34,60,45,4,3,2,3,3
Princess-Rosethorn,26,23,25,27,25,28,20,23,61,115,5,2,5,1,2,33,12,12,13,63,0,0,0,0,1,15,9,2,2,12,0,1,1,1,2,33,37,34,28,19,4,4,2,2,5
Edenbridge-Humber Valley,35,33,35,31,53,23,37,30,76,115,1,4,6,2,2,53,23,16,30,63,0,0,0,0,1,3,9,10,6,7,3,1,2,2,1,33,27,24,39,28,10,1,2,9,5
Humber Heights-Westmount,36,23,31,32,53,19,23,20,29,25,1,1,3,4,1,23,9,16,10,13,0,0,2,1,1,5,2,1,9,6,7,0,5,1,4,13,36,33,18,20,5,1,5,1,2
Willowridge-Martingrove-Richview,96,95,57,98,123,43,70,60,106,105,2,1,6,5,3,42,21,21,27,31,1,0,2,0,1,38,16,6,15,17,5,7,3,4,4,37,43,53,66,61,3,4,3,5,3
Kingsview Village-The Westway,97,100,99,132,151,40,60,82,121,112,5,5,3,5,1,27,14,17,15,40,0,0,1,0,1,14,6,9,10,23,3,2,7,1,2,41,66,94,68,101,2,7,8,6,8
Elms-Old Rexdale,71,49,69,64,61,28,42,51,59,40,1,2,0,2,6,10,13,10,9,16,0,0,0,1,1,16,7,7,15,14,9,0,7,6,2,25,35,18,31,43,4,2,3,7,4
Rexdale-Kipling,58,49,48,58,76,52,40,40,55,74,1,1,2,1,1,14,18,29,21,16,2,0,0,2,1,22,14,10,13,24,5,1,1,1,1,46,42,55,52,47,3,1,2,9,4
Thistletown-Beaumond Heights,75,56,61,52,66,52,43,44,55,48,0,0,1,0,5,14,11,8,17,23,0,0,0,0,1,10,9,6,16,13,2,1,1,5,2,39,55,40,22,55,4,5,2,2,14
Mount Olive-Silverstone-Jamestown,275,207,212,262,297,87,87,77,118,152,5,10,6,8,11,35,18,16,26,24,3,3,0,1,4,59,31,50,54,54,15,18,10,6,16,110,96,83,84,121,8,8,3,18,11
West Humber-Clairville,257,250,243,269,322,486,407,496,775,829,7,5,12,6,10,135,111,98,135,212,2,2,1,1,2,72,76,53,69,77,14,5,5,5,9,355,374,378,464,315,65,56,55,61,80
Black Creek,205,260,207,232,231,72,80,65,70,83,7,2,7,3,5,38,24,27,33,29,0,3,0,1,1,44,23,12,19,28,6,18,13,10,7,65,87,65,42,54,9,16,9,8,13
Pelmo Park-Humberlea,78,55,57,82,104,73,59,67,93,101,1,5,3,5,9.5,23,20,12,32,23,1,0,2,1,1,8,7,4,8,13,3,4,2,3,3,30,48,48,42,24,7,10,2,9,6
Humbermede,168,95,134,119,159,70,76,61,107,122,1,4,2,1,2,62,34,30,35,29,0,0,0,0,1,27,14,18,38,14,4,6,4,2,2,42,59,45,46,76,8,12,13,9,11
Humber Summit,113,92,101,127,165,134,110,134,174,131,7,1,2,2,4,59,25,41,55,90,3,0,1,0,2,28,26,14,30,25,9,5,4,7,6,68,92,86,84,88,22,21,29,23,42
